Category: All categories
TOP
Weather,100
City,52
Yahoo!,38
Meaning,35
YouTube,30
English language,29
Recipe,28
Comics,28
Twitter,28
Twitter,26
Amazon.com,25
News,23
Tokyo,22
Severe acute respiratory syndrome coronavirus 2,21
Respirator,20
Japanese people,20
Japan,19
Rakuten,19
Google,17
Tokyo Disney Resort,17
Blog,17
Hotel,16
Train station,16
Osaka,16
Share price,15

RISING
No Min-woo,Breakout
Kisaragi Station,Breakout
Tokyo Disney Resort Ticket Center,+600%
Ticket,+250%
Tokyo Disney Resort,+250%
Tokyo Disneyland,+180%
System,+70%
July,+70%
Hiroshima,+60%
Public transport timetable,+50%
Individual Number Card,+50%
Loyalty program,+40%
Aichi,+40%

